dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
framingham,plaintext,7,7.073e-06,0,0,0,7.073e-06,0.6856287425,0.6872490348,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,8,7.074e-06,0,0,0,7.074e-06,0.6856287425,0.686424231,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,9,7.063e-06,0,0,0,7.063e-06,0.6856287425,0.6856071696,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,10,7.043e-06,0,0,0,7.043e-06,0.6886227545,0.6847977768,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,11,7.073e-06,0,0,0,7.073e-06,0.6886227545,0.6839959797,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,12,7.003e-06,0,0,0,7.003e-06,0.6886227545,0.6832017057,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,13,7.043e-06,0,0,0,7.043e-06,0.6886227545,0.6824148828,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,14,6.993e-06,0,0,0,6.993e-06,0.6886227545,0.6816354397,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,15,7.033e-06,0,0,0,7.033e-06,0.6886227545,0.6808633056,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,16,6.974e-06,0,0,0,6.974e-06,0.6886227545,0.6800984104,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,17,6.973e-06,0,0,0,6.973e-06,0.6886227545,0.6793406845,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,18,7.003e-06,0,0,0,7.003e-06,0.6886227545,0.678590059,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,19,6.973e-06,0,0,0,6.973e-06,0.6856287425,0.6778464653,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,20,6.983e-06,0,0,0,6.983e-06,0.6856287425,0.6771098356,0,0,0,0,nag,0.1,cubic,separate
framingham,real_bootstrapping,1,7.760392717,0,0.050124437,0,7.760392717,0.6886227545,0.6923548382,2.344402884e-14,0,6,6,nag,0.1,cubic,separate
framingham,real_bootstrapping,2,5.396899378,0,0.035897218,0,5.396899378,0.6886227545,0.6914908353,3.354738362e-14,0,14,14,nag,0.1,cubic,separate
framingham,real_bootstrapping,3,3.69702007,7.070563676,0.027014253,0.100966689,10.76758375,0.6886227545,0.6906269565,1.029719569e-06,1,22,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,4,3.654418642,7.746850476,0.027501063,0.098019021,11.40126912,0.6886227545,0.6897705484,8.200940758e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,5,4.094407711,5.881906735,0.023010678,0.100587987,9.976314446,0.6886227545,0.6889221093,4.842734809e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,6,4.019418604,8.697129857,0.024524006,0.098757678,12.71654846,0.6886227545,0.6880816294,4.705509136e-07,1,27,19,nag,0.1,cubic,separate
framingham,real_bootstrapping,7,4.074843857,6.890518221,0.024351605,0.089481009,10.96536208,0.6856287425,0.6872490697,6.625960766e-07,1,27,19,nag,0.1,cubic,separate
